nama_sparepart,kategori
piston,mesin
ring piston,mesin
rocker arm,mesin
klep,mesin
seal klep,mesin
noken as,mesin
paking top set,mesin
paking magnet,mesin
paking kopling,mesin
oli mesin,mesin
kampas rem depan,pengereman
kampas rem belakang,pengereman
piringan cakram,pengereman
master rem,pengereman
kampas kopling,transmisi
v-belt,transmisi
roller,transmisi
rumah roller,transmisi
kampas ganda,transmisi
mangkok kopling,transmisi
rantai,transmisi
gir depan,transmisi
gir belakang,transmisi
cdi,kelistrikan
relay starter,kelistrikan
aki,kelistrikan
busi,kelistrikan
bohlam depan,kelistrikan
bohlam belakang,kelistrikan
kabel gas,lainnya
kabel spidometer,lainnya
filter udara,lainnya
saringan udara,lainnya
sokbreker belakang,lainnya
baki komstir,lainnya
as roda,lainnya
businya,lainya
koil,pengapian
pistonnya,mesin
seal,mesin
stater
rantai keteng
rantai kamprat
kamprat
bos
ring
seher
kiprok
kabel
bosnya
spul
cvt
gigi
soket
silinder
vibel
pulser
vanbel
vanbelt
panbel
sil
pompa oli
oil pump
bearing
laker
klaker
puli
pully
karburator
EOF
