nama_action
ganti
diganti
penggantian
pasang
bongkar
servis
koreksi
setting
bersihkan
perbaiki
perbaikan
cek
tukar
bubut
upgrade
sparepart ori
mengecek
membukanya
oversize
nekan
dicek
pemasangan
buka
lepas
setelan
setingan
coba
cara
pemasangan
setingan
setel
setting
stel
disetel
dilepas
